Subject	Sample
HG00256	HG00256
HG00476	HG00476
HG01669	HG01669
NA20296	NA20296
HG02944	HG02944
HG02982	HG02982
NA18995	NA18995
HG01170	HG01170
HG02386	HG02386
NA19119	NA19119
HG00445	HG00445
HG03297	HG03297
HG01058	HG01058
HG01537	HG01537
HG00125	HG00125
NA20541	NA20541
NA18917	NA18917
HG00355	HG00355
NA18643	NA18643
NA19060	NA19060
HG03469	HG03469
HG00272	HG00272
NA19360	NA19360
NA20527	NA20527
HG02061	HG02061
HG03079	HG03079
NA18565	NA18565
HG02131	HG02131
NA18508	NA18508
HG00177	HG00177
HG03240	HG03240
HG02757	HG02757
NA11843	NA11843
HG01085	HG01085
HG02380	HG02380
HG01308	HG01308
NA19206	NA19206
HG00240	HG00240
HG01850	HG01850
HG02339	HG02339
NA18504	NA18504
HG00187	HG00187
NA18942	NA18942
HG03027	HG03027
HG00536	HG00536
NA19320	NA19320
NA19025	NA19025
HG02610	HG02610
NA20815	NA20815
HG01305	HG01305
HG02586	HG02586
NA18617	NA18617
HG00672	HG00672
NA19200	NA19200
HG02484	HG02484
HG01456	HG01456
HG01806	HG01806
NA19149	NA19149
HG01133	HG01133
NA19091	NA19091
NA06994	NA06994
HG03538	HG03538
HG03385	HG03385
NA19185	NA19185
HG03040	HG03040
HG00261	HG00261
HG02282	HG02282
NA18967	NA18967
NA19085	NA19085
NA19225	NA19225
HG02895	HG02895
NA12045	NA12045
HG02715	HG02715
HG01260	HG01260
HG01393	HG01393
NA18517	NA18517
HG03127	HG03127
HG00631	HG00631
HG02577	HG02577
NA20758	NA20758
HG02408	HG02408
NA19835	NA19835
HG01789	HG01789
HG01438	HG01438
HG03111	HG03111
NA19434	NA19434
NA12347	NA12347
HG00707	HG00707
HG03352	HG03352
NA18533	NA18533
HG03445	HG03445
NA07037	NA07037
HG02505	HG02505
NA19456	NA19456
HG01047	HG01047
HG01412	HG01412
HG01812	HG01812
HG02799	HG02799
HG01679	HG01679
NA18612	NA18612
HG02549	HG02549
HG00140	HG00140
HG00851	HG00851
HG00419	HG00419
HG02882	HG02882
HG02151	HG02151
NA20773	NA20773
HG02681	HG02681
NA20362	NA20362
NA12273	NA12273
HG00638	HG00638
HG01599	HG01599
NA18878	NA18878
NA18528	NA18528
NA19121	NA19121
HG01098	HG01098
HG03767	HG03767
HG02736	HG02736
HG02040	HG02040
HG00106	HG00106
HG03157	HG03157
NA12812	NA12812
HG01770	HG01770
HG00252	HG00252
NA18627	NA18627
HG01631	HG01631
HG03583	HG03583
NA18999	NA18999
HG02238	HG02238
HG02330	HG02330
HG02603	HG02603
NA19331	NA19331
HG03619	HG03619
HG00559	HG00559
HG02624	HG02624
NA12005	NA12005
HG00978	HG00978
NA18562	NA18562
NA20351	NA20351
NA12777	NA12777
NA19088	NA19088
HG00108	HG00108
HG01513	HG01513
HG02223	HG02223
NA20783	NA20783
HG02351	HG02351
NA19059	NA19059
NA20890	NA20890
HG00443	HG00443
NA19020	NA19020
NA18912	NA18912
NA18963	NA18963
NA12776	NA12776
NA18982	NA18982
HG02111	HG02111
HG02108	HG02108
HG02450	HG02450
NA18532	NA18532
HG02879	HG02879
NA19379	NA19379
HG01879	HG01879
NA20321	NA20321
HG03484	HG03484
HG00674	HG00674
HG02485	HG02485
HG00654	HG00654
HG01414	HG01414
NA20126	NA20126
NA18970	NA18970
HG03515	HG03515
HG00318	HG00318
HG01500	HG01500
HG03391	HG03391
HG00881	HG00881
NA18549	NA18549
NA18740	NA18740
HG01101	HG01101
HG01613	HG01613
NA19159	NA19159
HG03267	HG03267
HG01617	HG01617
HG02679	HG02679
HG00137	HG00137
HG02255	HG02255
HG00428	HG00428
NA19065	NA19065
NA12272	NA12272
NA18616	NA18616
NA18541	NA18541
NA19679	NA19679
HG01886	HG01886
HG01889	HG01889
HG02182	HG02182
NA18994	NA18994
NA20765	NA20765
HG01847	HG01847
HG03123	HG03123
