SAMPLE_ID	BODY_SITE	ANALYTE_TYPE	IS_TUMOR
NA18910	peripheral 	blood 	DNA unknown
HG02690	peripheral 	blood 	DNA unknown
NA12873	peripheral 	blood 	DNA unknown
HG00253	peripheral 	blood 	DNA unknown
NA19428	peripheral 	blood 	DNA unknown
HG01403	peripheral 	blood 	DNA unknown
NA19378	peripheral 	blood 	DNA unknown
HG01447	peripheral 	blood 	DNA unknown
NA19012	peripheral 	blood 	DNA unknown
HG01628	peripheral 	blood 	DNA unknown
HG00553	peripheral 	blood 	DNA unknown
HG01878	peripheral 	blood 	DNA unknown
HG00186	peripheral 	blood 	DNA unknown
NA19160	peripheral 	blood 	DNA unknown
HG00956	peripheral 	blood 	DNA unknown
NA18602	peripheral 	blood 	DNA unknown
NA20778	peripheral 	blood 	DNA unknown
NA18981	peripheral 	blood 	DNA unknown
HG00533	peripheral 	blood 	DNA unknown
HG00122	peripheral 	blood 	DNA unknown
NA20289	peripheral 	blood 	DNA unknown
HG00742	peripheral 	blood 	DNA unknown
HG03268	peripheral 	blood 	DNA unknown
HG02402	peripheral 	blood 	DNA unknown
HG00513	peripheral 	blood 	DNA unknown
NA12750	peripheral 	blood 	DNA unknown
HG00350	peripheral 	blood 	DNA unknown
HG00675	peripheral 	blood 	DNA unknown
HG00148	peripheral 	blood 	DNA unknown
NA18628	peripheral 	blood 	DNA unknown
HG03479	peripheral 	blood 	DNA unknown
NA20795	peripheral 	blood 	DNA unknown
HG00136	peripheral 	blood 	DNA unknown
NA20127	peripheral 	blood 	DNA unknown
HG02020	peripheral 	blood 	DNA unknown
HG01431	peripheral 	blood 	DNA unknown
NA18977	peripheral 	blood 	DNA unknown
HG00982	peripheral 	blood 	DNA unknown
HG00319	peripheral 	blood 	DNA unknown
NA18544	peripheral 	blood 	DNA unknown
HG03270	peripheral 	blood 	DNA unknown
HG02332	peripheral 	blood 	DNA unknown
NA19204	peripheral 	blood 	DNA unknown
HG01603	peripheral 	blood 	DNA unknown
HG02642	peripheral 	blood 	DNA unknown
HG02923	peripheral 	blood 	DNA unknown
NA20320	peripheral 	blood 	DNA unknown
HG02611	peripheral 	blood 	DNA unknown
HG02010	peripheral 	blood 	DNA unknown
NA18610	peripheral 	blood 	DNA unknown
HG03086	peripheral 	blood 	DNA unknown
HG02589	peripheral 	blood 	DNA unknown
NA18542	peripheral 	blood 	DNA unknown
NA19792	peripheral 	blood 	DNA unknown
NA19213	peripheral 	blood 	DNA unknown
NA18615	peripheral 	blood 	DNA unknown
NA18522	peripheral 	blood 	DNA unknown
HG02570	peripheral 	blood 	DNA unknown
NA20812	peripheral 	blood 	DNA unknown
HG03557	peripheral 	blood 	DNA unknown
HG02374	peripheral 	blood 	DNA unknown
HG00689	peripheral 	blood 	DNA unknown
HG03567	peripheral 	blood 	DNA unknown
HG02360	peripheral 	blood 	DNA unknown
HG00598	peripheral 	blood 	DNA unknown
HG00360	peripheral 	blood 	DNA unknown
HG00699	peripheral 	blood 	DNA unknown
NA20761	peripheral 	blood 	DNA unknown
HG01986	peripheral 	blood 	DNA unknown
NA19376	peripheral 	blood 	DNA unknown
HG00097	peripheral 	blood 	DNA unknown
HG02138	peripheral 	blood 	DNA unknown
HG02231	peripheral 	blood 	DNA unknown
NA19384	peripheral 	blood 	DNA unknown
NA18624	peripheral 	blood 	DNA unknown
HG03196	peripheral 	blood 	DNA unknown
HG03258	peripheral 	blood 	DNA unknown
HG00336	peripheral 	blood 	DNA unknown
HG02522	peripheral 	blood 	DNA unknown
HG02694	peripheral 	blood 	DNA unknown
HG02981	peripheral 	blood 	DNA unknown
NA19315	peripheral 	blood 	DNA unknown
HG03419	peripheral 	blood 	DNA unknown
HG01029	peripheral 	blood 	DNA unknown
HG03077	peripheral 	blood 	DNA unknown
HG02703	peripheral 	blood 	DNA unknown
NA18954	peripheral 	blood 	DNA unknown
NA20822	peripheral 	blood 	DNA unknown
HG02536	peripheral 	blood 	DNA unknown
HG03351	peripheral 	blood 	DNA unknown
NA07357	peripheral 	blood 	DNA unknown
NA12342	peripheral 	blood 	DNA unknown
HG01082	peripheral 	blood 	DNA unknown
NA19324	peripheral 	blood 	DNA unknown
HG01813	peripheral 	blood 	DNA unknown
NA12283	peripheral 	blood 	DNA unknown
HG02840	peripheral 	blood 	DNA unknown
HG02953	peripheral 	blood 	DNA unknown
HG00464	peripheral 	blood 	DNA unknown
NA18933	peripheral 	blood 	DNA unknown
HG02887	peripheral 	blood 	DNA unknown
HG00281	peripheral 	blood 	DNA unknown
HG01766	peripheral 	blood 	DNA unknown
HG00238	peripheral 	blood 	DNA unknown
HG01069	peripheral 	blood 	DNA unknown
HG01383	peripheral 	blood 	DNA unknown
HG03449	peripheral 	blood 	DNA unknown
HG02154	peripheral 	blood 	DNA unknown
HG01164	peripheral 	blood 	DNA unknown
NA18745	peripheral 	blood 	DNA unknown
NA12413	peripheral 	blood 	DNA unknown
NA19649	peripheral 	blood 	DNA unknown
HG00254	peripheral 	blood 	DNA unknown
HG03132	peripheral 	blood 	DNA unknown
NA19914	peripheral 	blood 	DNA unknown
NA20886	peripheral 	blood 	DNA unknown
NA18561	peripheral 	blood 	DNA unknown
NA12718	peripheral 	blood 	DNA unknown
HG03049	peripheral 	blood 	DNA unknown
HG01504	peripheral 	blood 	DNA unknown
HG01872	peripheral 	blood 	DNA unknown
HG02811	peripheral 	blood 	DNA unknown
HG01277	peripheral 	blood 	DNA unknown
NA19658	peripheral 	blood 	DNA unknown
HG02585	peripheral 	blood 	DNA unknown
HG03172	peripheral 	blood 	DNA unknown
HG02190	peripheral 	blood 	DNA unknown
NA19078	peripheral 	blood 	DNA unknown
HG00701	peripheral 	blood 	DNA unknown
HG01801	peripheral 	blood 	DNA unknown
HG00338	peripheral 	blood 	DNA unknown
HG00472	peripheral 	blood 	DNA unknown
HG01248	peripheral 	blood 	DNA unknown
NA20355	peripheral 	blood 	DNA unknown
NA20519	peripheral 	blood 	DNA unknown
HG00116	peripheral 	blood 	DNA unknown
HG01119	peripheral 	blood 	DNA unknown
HG02052	peripheral 	blood 	DNA unknown
NA19084	peripheral 	blood 	DNA unknown
NA18907	peripheral 	blood 	DNA unknown
NA19113	peripheral 	blood 	DNA unknown
HG01672	peripheral 	blood 	DNA unknown
NA18858	peripheral 	blood 	DNA unknown
HG00611	peripheral 	blood 	DNA unknown
HG03039	peripheral 	blood 	DNA unknown
NA19137	peripheral 	blood 	DNA unknown
HG01857	peripheral 	blood 	DNA unknown
HG01281	peripheral 	blood 	DNA unknown
NA19057	peripheral 	blood 	DNA unknown
NA20542	peripheral 	blood 	DNA unknown
HG00651	peripheral 	blood 	DNA unknown
HG02763	peripheral 	blood 	DNA unknown
HG02651	peripheral 	blood 	DNA unknown
HG01479	peripheral 	blood 	DNA unknown
NA18640	peripheral 	blood 	DNA unknown
HG00110	peripheral 	blood 	DNA unknown
HG00267	peripheral 	blood 	DNA unknown
HG02220	peripheral 	blood 	DNA unknown
HG01761	peripheral 	blood 	DNA unknown
NA20802	peripheral 	blood 	DNA unknown
HG00274	peripheral 	blood 	DNA unknown
HG01251	peripheral 	blood 	DNA unknown
HG00590	peripheral 	blood 	DNA unknown
HG01623	peripheral 	blood 	DNA unknown
HG00130	peripheral 	blood 	DNA unknown
HG01356	peripheral 	blood 	DNA unknown
NA18548	peripheral 	blood 	DNA unknown
HG01686	peripheral 	blood 	DNA unknown
HG03280	peripheral 	blood 	DNA unknown
HG02232	peripheral 	blood 	DNA unknown
HG00129	peripheral 	blood 	DNA unknown
NA11994	peripheral 	blood 	DNA unknown
NA20514	peripheral 	blood 	DNA unknown
NA18638	peripheral 	blood 	DNA unknown
HG03437	peripheral 	blood 	DNA unknown
NA19463	peripheral 	blood 	DNA unknown
HG03452	peripheral 	blood 	DNA unknown
NA19399	peripheral 	blood 	DNA unknown
HG02508	peripheral 	blood 	DNA unknown
HG01880	peripheral 	blood 	DNA unknown
HG00112	peripheral 	blood 	DNA unknown
HG01325	peripheral 	blood 	DNA unknown
HG01162	peripheral 	blood 	DNA unknown
HG00327	peripheral 	blood 	DNA unknown
HG00313	peripheral 	blood 	DNA unknown
HG02399	peripheral 	blood 	DNA unknown
NA19438	peripheral 	blood 	DNA unknown
HG03241	peripheral 	blood 	DNA unknown
HG03432	peripheral 	blood 	DNA unknown
NA18545	peripheral 	blood 	DNA unknown
HG01864	peripheral 	blood 	DNA unknown
HG00364	peripheral 	blood 	DNA unknown
HG00323	peripheral 	blood 	DNA unknown
HG00334	peripheral 	blood 	DNA unknown
HG00376	peripheral 	blood 	DNA unknown
HG02947	peripheral 	blood 	DNA unknown
NA18749	peripheral 	blood 	DNA unknown
HG00306	peripheral 	blood 	DNA unknown
HG02069	peripheral 	blood 	DNA unknown
NA18498	peripheral 	blood 	DNA unknown
NA19010	peripheral 	blood 	DNA unknown
NA19096	peripheral 	blood 	DNA unknown
NA20510	peripheral 	blood 	DNA unknown
HG01853	peripheral 	blood 	DNA unknown
NA12004	peripheral 	blood 	DNA unknown
NA19923	peripheral 	blood 	DNA unknown
HG01510	peripheral 	blood 	DNA unknown
HG02629	peripheral 	blood 	DNA unknown
HG01122	peripheral 	blood 	DNA unknown
HG02541	peripheral 	blood 	DNA unknown
NA18870	peripheral 	blood 	DNA unknown
NA18592	peripheral 	blood 	DNA unknown
NA19007	peripheral 	blood 	DNA unknown
HG02439	peripheral 	blood 	DNA unknown
HG01896	peripheral 	blood 	DNA unknown
HG02013	peripheral 	blood 	DNA unknown
NA20276	peripheral 	blood 	DNA unknown
HG00118	peripheral 	blood 	DNA unknown
HG01531	peripheral 	blood 	DNA unknown
NA20799	peripheral 	blood 	DNA unknown
NA19393	peripheral 	blood 	DNA unknown
HG01374	peripheral 	blood 	DNA unknown
HG03117	peripheral 	blood 	DNA unknown
HG01094	peripheral 	blood 	DNA unknown
HG01756	peripheral 	blood 	DNA unknown
NA12890	peripheral 	blood 	DNA unknown
HG02974	peripheral 	blood 	DNA unknown
HG01465	peripheral 	blood 	DNA unknown
NA18631	peripheral 	blood 	DNA unknown
HG02623	peripheral 	blood 	DNA unknown
HG02187	peripheral 	blood 	DNA unknown
NA19669	peripheral 	blood 	DNA unknown
HG03311	peripheral 	blood 	DNA unknown
HG02666	peripheral 	blood 	DNA unknown
HG00276	peripheral 	blood 	DNA unknown
HG02355	peripheral 	blood 	DNA unknown
NA19701	peripheral 	blood 	DNA unknown
HG00342	peripheral 	blood 	DNA unknown
HG01079	peripheral 	blood 	DNA unknown
HG01077	peripheral 	blood 	DNA unknown
HG02722	peripheral 	blood 	DNA unknown
NA19684	peripheral 	blood 	DNA unknown
NA20348	peripheral 	blood 	DNA unknown
NA20340	peripheral 	blood 	DNA unknown
HG00181	peripheral 	blood 	DNA unknown
HG02308	peripheral 	blood 	DNA unknown
HG00146	peripheral 	blood 	DNA unknown
HG01247	peripheral 	blood 	DNA unknown
HG01507	peripheral 	blood 	DNA unknown
HG03064	peripheral 	blood 	DNA unknown
NA18998	peripheral 	blood 	DNA unknown
HG00844	peripheral 	blood 	DNA unknown
NA12762	peripheral 	blood 	DNA unknown
NA19247	peripheral 	blood 	DNA unknown
NA12761	peripheral 	blood 	DNA unknown
NA19351	peripheral 	blood 	DNA unknown
NA19451	peripheral 	blood 	DNA unknown
HG03291	peripheral 	blood 	DNA unknown
HG02164	peripheral 	blood 	DNA unknown
HG00285	peripheral 	blood 	DNA unknown
NA20808	peripheral 	blood 	DNA unknown
NA20520	peripheral 	blood 	DNA unknown
HG00614	peripheral 	blood 	DNA unknown
HG01182	peripheral 	blood 	DNA unknown
NA19916	peripheral 	blood 	DNA unknown
NA19031	peripheral 	blood 	DNA unknown
HG02143	peripheral 	blood 	DNA unknown
NA19077	peripheral 	blood 	DNA unknown
HG01844	peripheral 	blood 	DNA unknown
